GoodStudent,Age,SocioEcon,RiskAversion,VehicleYear,ThisCarDam,RuggedAuto,MakeModel,DrivQuality,Mileage,Antilock,DrivingSkill,SeniorTrain,ThisCarCost,Theft,CarValue,HomeBase,AntiTheft,PropCost,OtherCarCost,OtherCar,MedCost,Cushioning,Airbag,ILiCost,DrivHist,Accident
FALSE,Adult,Middle,Normal,Older,None,Tank,FamilySedan,Normal,FiftyThou,FALSE,Normal,FALSE,Thousand,FALSE,FiveThou,Suburb,TRUE,Thousand,Thousand,FALSE,Thousand,Good,FALSE,Thousand,Zero,None
FALSE,Senior,UpperMiddle,Cautious,Current,None,EggShell,FamilySedan,Excellent,Domino,FALSE,Normal,TRUE,Thousand,FALSE,TwentyThou,Secure,TRUE,Thousand,Thousand,TRUE,Thousand,Good,TRUE,Thousand,Zero,None
FALSE,Adult,Prole,Cautious,Older,None,Football,Economy,Normal,FiftyThou,FALSE,Normal,FALSE,Thousand,FALSE,FiveThou,Rural,TRUE,TenThou,Thousand,FALSE,Thousand,Fair,FALSE,Thousand,Zero,None
FALSE,Adult,Prole,Adventurous,Older,Moderate,EggShell,Economy,Poor,TwentyThou,FALSE,SubStandard,FALSE,TenThou,FALSE,FiveThou,Rural,FALSE,HundredThou,HundredThou,TRUE,Thousand,Poor,FALSE,Thousand,Many,Moderate
FALSE,Senior,UpperMiddle,Cautious,Older,None,EggShell,SportsCar,Excellent,TwentyThou,FALSE,Expert,TRUE,Thousand,FALSE,TenThou,Secure,TRUE,Thousand,Thousand,TRUE,Thousand,Poor,FALSE,Thousand,Zero,None
FALSE,Adult,Middle,Normal,Older,None,Football,FamilySedan,Normal,FiftyThou,FALSE,Normal,FALSE,Thousand,FALSE,FiveThou,Suburb,FALSE,Thousand,Thousand,TRUE,Thousand,Good,FALSE,Thousand,One,None
FALSE,Adolescent,Middle,Normal,Older,None,Tank,FamilySedan,Normal,TwentyThou,FALSE,Normal,FALSE,Thousand,FALSE,TenThou,Secure,TRUE,Thousand,Thousand,TRUE,Thousand,Good,FALSE,Thousand,Zero,None
FALSE,Senior,UpperMiddle,Normal,Current,Severe,EggShell,FamilySedan,Poor,FiftyThou,FALSE,SubStandard,FALSE,HundredThou,FALSE,TwentyThou,Rural,TRUE,HundredThou,Thousand,TRUE,Million,Poor,TRUE,Thousand,Many,Severe
FALSE,Adult,Middle,Normal,Older,None,EggShell,FamilySedan,Normal,FiftyThou,FALSE,Normal,FALSE,Thousand,FALSE,TenThou,Rural,FALSE,Thousand,Thousand,TRUE,Thousand,Fair,FALSE,Thousand,Zero,None
FALSE,Adult,Middle,Normal,Older,None,EggShell,Economy,Poor,FiveThou,FALSE,SubStandard,FALSE,Thousand,FALSE,FiveThou,Secure,FALSE,Thousand,Thousand,TRUE,Thousand,Fair,FALSE,Thousand,Many,None
FALSE,Adult,Middle,Adventurous,Current,None,EggShell,FamilySedan,Excellent,TwentyThou,FALSE,Normal,FALSE,Thousand,FALSE,TwentyThou,City,FALSE,Thousand,Thousand,TRUE,Thousand,Fair,TRUE,Thousand,Zero,None
FALSE,Adult,Prole,Adventurous,Older,Severe,EggShell,Economy,Poor,TwentyThou,FALSE,Normal,FALSE,TenThou,FALSE,FiveThou,City,FALSE,Million,HundredThou,FALSE,Thousand,Poor,FALSE,Thousand,Many,Severe
FALSE,Adult,UpperMiddle,Adventurous,Current,None,Tank,Luxury,Poor,Domino,TRUE,SubStandard,FALSE,Thousand,FALSE,FiftyThou,Secure,FALSE,Thousand,Thousand,TRUE,Thousand,Excellent,TRUE,Thousand,Many,Mild
FALSE,Adult,UpperMiddle,Cautious,Current,None,EggShell,SportsCar,Normal,FiftyThou,TRUE,Normal,FALSE,Thousand,FALSE,TwentyThou,Secure,TRUE,Thousand,Thousand,TRUE,Thousand,Good,TRUE,Thousand,Zero,None
FALSE,Adolescent,UpperMiddle,Adventurous,Current,Mild,EggShell,SportsCar,Poor,FiftyThou,FALSE,Normal,FALSE,Thousand,FALSE,TwentyThou,City,FALSE,TenThou,Thousand,TRUE,Thousand,Poor,TRUE,Thousand,One,Mild
FALSE,Adolescent,UpperMiddle,Normal,Current,None,Tank,FamilySedan,Normal,TwentyThou,FALSE,Normal,FALSE,Thousand,FALSE,TwentyThou,Secure,TRUE,TenThou,Thousand,FALSE,Thousand,Excellent,TRUE,Thousand,Zero,None
FALSE,Adult,Prole,Normal,Current,None,Football,Economy,Normal,FiftyThou,FALSE,Normal,FALSE,Thousand,FALSE,TenThou,City,FALSE,TenThou,Thousand,FALSE,Thousand,Good,TRUE,Thousand,Zero,None
FALSE,Senior,Prole,Normal,Older,None,Football,FamilySedan,Poor,TwentyThou,FALSE,SubStandard,FALSE,Thousand,FALSE,FiveThou,City,FALSE,Thousand,Thousand,FALSE,Thousand,Good,FALSE,Thousand,Many,None
FALSE,Adolescent,Middle,Normal,Older,Severe,EggShell,SportsCar,Poor,Domino,FALSE,SubStandard,FALSE,TenThou,FALSE,FiveThou,Secure,FALSE,TenThou,TenThou,TRUE,Thousand,Poor,FALSE,TenThou,Many,Severe
FALSE,Senior,Prole,Normal,Current,None,Tank,FamilySedan,Normal,FiftyThou,FALSE,Normal,TRUE,Thousand,FALSE,TwentyThou,Rural,FALSE,TenThou,Thousand,TRUE,Thousand,Excellent,TRUE,Thousand,Zero,None
FALSE,Adult,Middle,Cautious,Current,None,Football,SportsCar,Poor,TwentyThou,TRUE,SubStandard,FALSE,Thousand,FALSE,TwentyThou,Secure,TRUE,Thousand,Thousand,TRUE,Thousand,Excellent,TRUE,Thousand,Many,None
FALSE,Adult,Prole,Adventurous,Current,Severe,Football,Economy,Poor,TwentyThou,FALSE,Normal,FALSE,TenThou,FALSE,TenThou,City,FALSE,HundredThou,HundredThou,TRUE,Thousand,Good,TRUE,Thousand,Zero,Severe
FALSE,Adult,Prole,Normal,Older,Mild,EggShell,Economy,Normal,Domino,FALSE,Normal,FALSE,Thousand,FALSE,FiveThou,City,FALSE,Thousand,Thousand,FALSE,Thousand,Fair,FALSE,Thousand,Zero,Mild
FALSE,Adult,Wealthy,Normal,Current,None,Football,Luxury,Normal,TwentyThou,TRUE,Normal,FALSE,Thousand,FALSE,FiftyThou,Secure,TRUE,Thousand,Thousand,TRUE,Thousand,Good,TRUE,Thousand,Zero,None
FALSE,Senior,Middle,Cautious,Older,None,Tank,FamilySedan,Excellent,FiftyThou,FALSE,Expert,TRUE,Thousand,FALSE,FiveThou,Secure,TRUE,Thousand,Thousand,TRUE,Thousand,Excellent,TRUE,Thousand,Zero,None
FALSE,Senior,Prole,Cautious,Older,None,EggShell,Economy,Excellent,FiftyThou,FALSE,Expert,TRUE,Thousand,FALSE,FiveThou,Rural,TRUE,Thousand,Thousand,FALSE,Thousand,Fair,FALSE,Thousand,Zero,None
FALSE,Adult,Prole,Normal,Current,None,Football,FamilySedan,Normal,TwentyThou,FALSE,Normal,FALSE,Thousand,FALSE,TwentyThou,Rural,FALSE,Thousand,Thousand,TRUE,Thousand,Good,TRUE,Thousand,Zero,None
FALSE,Adult,Middle,Normal,Older,None,EggShell,Economy,Excellent,TwentyThou,FALSE,Expert,FALSE,Thousand,FALSE,TenThou,Suburb,FALSE,Thousand,Thousand,TRUE,Thousand,Poor,FALSE,Thousand,Zero,None
FALSE,Senior,Prole,Cautious,Older,None,EggShell,Economy,Normal,FiftyThou,FALSE,Normal,TRUE,Thousand,FALSE,FiveThou,City,TRUE,TenThou,Thousand,TRUE,Thousand,Fair,FALSE,Thousand,Zero,None
TRUE,Adolescent,Prole,Cautious,Current,Moderate,EggShell,SportsCar,Poor,FiftyThou,TRUE,SubStandard,FALSE,HundredThou,FALSE,TwentyThou,Rural,TRUE,HundredThou,HundredThou,FALSE,Thousand,Fair,TRUE,Thousand,Zero,Moderate
FALSE,Adolescent,Middle,Normal,Current,None,Football,FamilySedan,Poor,TwentyThou,TRUE,SubStandard,FALSE,Thousand,FALSE,TwentyThou,Suburb,TRUE,TenThou,Thousand,FALSE,Thousand,Good,TRUE,Thousand,Many,None
FALSE,Adult,UpperMiddle,Normal,Current,None,EggShell,SportsCar,Normal,FiftyThou,TRUE,Normal,FALSE,Thousand,FALSE,TwentyThou,Suburb,TRUE,TenThou,Thousand,TRUE,Thousand,Poor,TRUE,Thousand,Zero,None
FALSE,Senior,Prole,Normal,Older,None,EggShell,Economy,Normal,TwentyThou,FALSE,Normal,FALSE,Thousand,FALSE,FiveThou,City,FALSE,TenThou,Thousand,FALSE,Thousand,Poor,FALSE,Thousand,Zero,None
FALSE,Adult,Prole,Normal,Older,None,Football,Economy,Poor,FiveThou,FALSE,SubStandard,FALSE,Thousand,FALSE,TenThou,City,FALSE,TenThou,Thousand,TRUE,Thousand,Fair,FALSE,Thousand,Many,None
FALSE,Adult,Prole,Normal,Older,Mild,EggShell,Economy,Poor,Domino,FALSE,SubStandard,FALSE,Thousand,FALSE,FiveThou,City,FALSE,TenThou,Thousand,FALSE,Thousand,Poor,FALSE,Thousand,Many,Mild
FALSE,Adult,UpperMiddle,Adventurous,Current,Severe,EggShell,FamilySedan,Poor,FiftyThou,FALSE,Normal,FALSE,HundredThou,FALSE,TwentyThou,Rural,FALSE,Million,HundredThou,TRUE,Million,Poor,TRUE,Thousand,Zero,Severe
FALSE,Adult,UpperMiddle,Adventurous,Older,None,Tank,Luxury,Excellent,TwentyThou,FALSE,Normal,FALSE,Thousand,FALSE,TenThou,Suburb,FALSE,Thousand,Thousand,TRUE,Thousand,Excellent,TRUE,Thousand,Zero,None
FALSE,Adult,Prole,Cautious,Older,None,EggShell,Economy,Excellent,TwentyThou,FALSE,Expert,FALSE,Thousand,FALSE,FiveThou,City,TRUE,TenThou,Thousand,TRUE,Thousand,Poor,TRUE,Thousand,Zero,None
FALSE,Adult,Prole,Normal,Older,None,EggShell,Economy,Normal,FiveThou,FALSE,Normal,FALSE,Thousand,FALSE,TenThou,Rural,TRUE,TenThou,Thousand,FALSE,Thousand,Poor,FALSE,Thousand,Zero,None
FALSE,Adult,Prole,Normal,Older,None,Football,FamilySedan,Normal,FiftyThou,FALSE,Normal,FALSE,Thousand,FALSE,TwentyThou,City,FALSE,Thousand,Thousand,TRUE,Thousand,Good,FALSE,Thousand,Zero,None
FALSE,Adult,Prole,Cautious,Older,None,EggShell,Economy,Normal,TwentyThou,FALSE,Normal,FALSE,Thousand,FALSE,FiveThou,City,TRUE,Thousand,Thousand,FALSE,Thousand,Poor,FALSE,Thousand,Zero,None
FALSE,Adolescent,Middle,Adventurous,Older,Moderate,Tank,FamilySedan,Poor,TwentyThou,FALSE,Normal,FALSE,TenThou,FALSE,FiveThou,Suburb,FALSE,TenThou,TenThou,TRUE,Thousand,Excellent,FALSE,Thousand,Many,Severe
FALSE,Adolescent,Prole,Adventurous,Current,Severe,EggShell,Economy,Poor,FiftyThou,FALSE,SubStandard,FALSE,TenThou,FALSE,TenThou,City,FALSE,TenThou,Thousand,FALSE,Thousand,Poor,TRUE,Thousand,Many,Moderate
FALSE,Adolescent,Middle,Normal,Older,None,EggShell,Economy,Normal,TwentyThou,FALSE,Normal,FALSE,Thousand,FALSE,TenThou,Secure,FALSE,Thousand,Thousand,TRUE,Thousand,Poor,FALSE,Thousand,Zero,None
FALSE,Adult,UpperMiddle,Normal,Current,None,EggShell,SportsCar,Normal,FiftyThou,TRUE,Normal,FALSE,Thousand,FALSE,TenThou,Suburb,TRUE,Thousand,Thousand,FALSE,Thousand,Poor,TRUE,Thousand,Zero,None
FALSE,Adult,Prole,Normal,Current,None,Football,Economy,Normal,FiftyThou,FALSE,Normal,FALSE,Thousand,FALSE,TenThou,City,FALSE,TenThou,Thousand,TRUE,Thousand,Excellent,TRUE,Thousand,Many,None
FALSE,Adolescent,Prole,Adventurous,Older,Severe,EggShell,Economy,Poor,FiftyThou,FALSE,SubStandard,FALSE,TenThou,FALSE,FiveThou,City,FALSE,HundredThou,HundredThou,FALSE,TenThou,Poor,FALSE,TenThou,Many,Severe
FALSE,Adult,UpperMiddle,Adventurous,Current,None,EggShell,SportsCar,Normal,TwentyThou,TRUE,Normal,FALSE,Thousand,FALSE,TwentyThou,Secure,TRUE,Thousand,Thousand,TRUE,Thousand,Poor,TRUE,Thousand,Zero,None
FALSE,Senior,Middle,Cautious,Current,None,EggShell,Economy,Normal,FiftyThou,FALSE,Normal,TRUE,Thousand,FALSE,TenThou,Secure,TRUE,Thousand,Thousand,TRUE,Thousand,Fair,TRUE,Thousand,Zero,None
FALSE,Adult,Middle,Normal,Current,None,Football,FamilySedan,Normal,TwentyThou,FALSE,Normal,FALSE,Thousand,FALSE,TwentyThou,Suburb,FALSE,Thousand,Thousand,TRUE,Thousand,Good,TRUE,Thousand,One,None
FALSE,Adult,Middle,Adventurous,Current,Severe,Football,FamilySedan,Poor,TwentyThou,FALSE,SubStandard,FALSE,HundredThou,FALSE,TwentyThou,City,FALSE,HundredThou,TenThou,FALSE,Thousand,Good,TRUE,HundredThou,One,Severe
FALSE,Adult,Prole,Normal,Older,None,Football,FamilySedan,Poor,TwentyThou,FALSE,SubStandard,FALSE,Thousand,FALSE,TwentyThou,City,FALSE,Thousand,Thousand,TRUE,Thousand,Good,TRUE,Thousand,Many,None
FALSE,Adolescent,UpperMiddle,Cautious,Current,None,Tank,Luxury,Normal,TwentyThou,TRUE,Normal,FALSE,Thousand,FALSE,FiftyThou,Secure,TRUE,Thousand,Thousand,TRUE,Thousand,Excellent,TRUE,Thousand,Zero,None
FALSE,Adolescent,Prole,Adventurous,Older,None,EggShell,Economy,Poor,FiveThou,FALSE,Normal,FALSE,Thousand,FALSE,TenThou,City,FALSE,TenThou,Thousand,FALSE,Thousand,Fair,FALSE,Thousand,Zero,None
FALSE,Adolescent,Prole,Normal,Current,Severe,EggShell,Economy,Poor,Domino,FALSE,SubStandard,FALSE,TenThou,FALSE,TenThou,City,FALSE,Million,HundredThou,FALSE,Thousand,Fair,TRUE,TenThou,Many,Severe
FALSE,Adult,Prole,Cautious,Older,Mild,Tank,FamilySedan,Poor,FiftyThou,FALSE,SubStandard,FALSE,Thousand,FALSE,FiveThou,City,TRUE,TenThou,Thousand,FALSE,Thousand,Excellent,FALSE,Thousand,Many,Moderate
FALSE,Adult,Prole,Normal,Older,Severe,EggShell,SportsCar,Poor,FiftyThou,FALSE,SubStandard,FALSE,TenThou,FALSE,TenThou,Rural,FALSE,HundredThou,TenThou,TRUE,Thousand,Good,TRUE,Thousand,Many,Severe
FALSE,Adult,Prole,Normal,Older,None,EggShell,Economy,Normal,Domino,FALSE,Normal,FALSE,Thousand,FALSE,FiveThou,City,FALSE,TenThou,Thousand,TRUE,Thousand,Poor,FALSE,Thousand,Zero,None
FALSE,Adult,Middle,Cautious,Older,None,Football,FamilySedan,Normal,FiftyThou,FALSE,Normal,FALSE,Thousand,FALSE,FiveThou,Secure,TRUE,Thousand,Thousand,TRUE,Thousand,Good,TRUE,Thousand,Zero,None
FALSE,Senior,Middle,Normal,Current,Mild,Football,Economy,Poor,TwentyThou,FALSE,SubStandard,FALSE,Thousand,FALSE,TwentyThou,Suburb,FALSE,TenThou,Thousand,TRUE,Thousand,Fair,TRUE,Thousand,One,Mild
FALSE,Adult,Middle,Cautious,Older,Mild,Tank,FamilySedan,Poor,FiftyThou,FALSE,SubStandard,FALSE,Thousand,FALSE,FiveThou,Secure,TRUE,TenThou,TenThou,FALSE,Thousand,Good,FALSE,Thousand,One,Severe
FALSE,Adult,Middle,Normal,Current,Mild,Football,FamilySedan,Poor,FiftyThou,TRUE,SubStandard,FALSE,Thousand,FALSE,TwentyThou,Suburb,TRUE,TenThou,Thousand,TRUE,Thousand,Excellent,TRUE,Thousand,Many,Mild
FALSE,Adult,Prole,Adventurous,Older,Mild,Tank,FamilySedan,Poor,TwentyThou,FALSE,SubStandard,FALSE,Thousand,FALSE,FiveThou,Rural,FALSE,Thousand,Thousand,TRUE,Thousand,Good,FALSE,Thousand,Many,Moderate
FALSE,Adult,UpperMiddle,Cautious,Current,None,EggShell,Luxury,Excellent,TwentyThou,TRUE,Normal,FALSE,Thousand,FALSE,FiftyThou,Secure,TRUE,TenThou,Thousand,TRUE,Thousand,Fair,TRUE,Thousand,Zero,None
FALSE,Adult,UpperMiddle,Normal,Current,None,Football,Luxury,Normal,TwentyThou,TRUE,Normal,FALSE,Thousand,FALSE,FiftyThou,Suburb,TRUE,Thousand,Thousand,TRUE,Thousand,Fair,TRUE,Thousand,One,None
FALSE,Adult,Middle,Normal,Older,None,Football,FamilySedan,Normal,FiftyThou,FALSE,Normal,FALSE,Thousand,FALSE,FiveThou,Secure,FALSE,Thousand,Thousand,TRUE,Thousand,Good,FALSE,Thousand,Zero,None
FALSE,Senior,Prole,Cautious,Current,None,EggShell,Economy,Normal,FiftyThou,FALSE,Normal,TRUE,Thousand,FALSE,TenThou,City,TRUE,Thousand,Thousand,TRUE,Thousand,Good,TRUE,Thousand,Zero,None
FALSE,Adolescent,Prole,Normal,Older,None,EggShell,Economy,Normal,FiftyThou,FALSE,Normal,FALSE,Thousand,FALSE,FiveThou,City,FALSE,Thousand,Thousand,TRUE,Thousand,Poor,FALSE,Thousand,Zero,None
FALSE,Senior,Middle,Cautious,Current,None,EggShell,Economy,Poor,TwentyThou,FALSE,SubStandard,FALSE,Thousand,FALSE,TenThou,Secure,TRUE,Thousand,Thousand,TRUE,Thousand,Poor,TRUE,Thousand,Many,None
FALSE,Adolescent,Prole,Adventurous,Current,None,Football,FamilySedan,Poor,FiftyThou,TRUE,SubStandard,FALSE,Thousand,FALSE,TwentyThou,Rural,FALSE,TenThou,Thousand,FALSE,Thousand,Good,TRUE,Thousand,Many,None
FALSE,Adult,Prole,Normal,Older,Severe,Football,Economy,Poor,TwentyThou,FALSE,SubStandard,FALSE,Thousand,FALSE,FiveThou,Rural,FALSE,TenThou,TenThou,TRUE,Thousand,Good,FALSE,HundredThou,Many,Severe
FALSE,Senior,Prole,Normal,Older,None,EggShell,Economy,Excellent,FiftyThou,FALSE,Expert,TRUE,Thousand,FALSE,FiveThou,City,FALSE,TenThou,Thousand,TRUE,Thousand,Poor,FALSE,Thousand,Zero,None
FALSE,Senior,UpperMiddle,Normal,Current,None,Football,Luxury,Normal,TwentyThou,TRUE,Normal,FALSE,Thousand,FALSE,FiftyThou,Suburb,TRUE,Thousand,Thousand,TRUE,Thousand,Good,TRUE,Thousand,Zero,None
FALSE,Adult,UpperMiddle,Normal,Current,None,Football,FamilySedan,Normal,FiftyThou,FALSE,Normal,FALSE,Thousand,FALSE,TwentyThou,Suburb,FALSE,Thousand,Thousand,TRUE,Thousand,Good,TRUE,Thousand,Zero,None
FALSE,Adolescent,Prole,Normal,Older,None,Tank,FamilySedan,Normal,TwentyThou,FALSE,Normal,FALSE,Thousand,FALSE,TwentyThou,City,FALSE,TenThou,Thousand,FALSE,Thousand,Good,FALSE,Thousand,Zero,None
